period_end,fy,fp,form,filed,total_revenue,cost_of_revenue,gross_profit,operating_income,net_income,total_assets,total_current_assets,cash_and_equivalents,inventory,total_liabilities,total_current_liabilities,total_equity,retained_earnings,operating_cash_flow,capital_expenditures,shares_outstanding,selling_general_admin,frequency,period_start
2015-08-01,2018,FY,10-K,2018-10-03,,,,,,,,,,,,8539000.0,,,,,,annual,
2016-07-30,2019,FY,10-K,2019-10-02,,407064000.0,323249000.0,64228000.0,33181000.0,,,,,,,49947000.0,,45116000.0,15238000.0,,259021000.0,annual,2015-08-01
2016-10-29,2018,Q1,10-Q,2017-12-20,,,110078000.0,26528000.0,13243000.0,,,,,,,,,,5478000.0,,83550000.0,quarterly,
2017-01-28,2018,Q2,10-Q,2018-03-13,,,106722000.0,887000.0,233000.0,,,,,,,,,,11367000.0,,105835000.0,quarterly,2016-10-29
2017-04-29,2018,Q3,10-Q,2018-06-08,,,105383000.0,4015000.0,-9563000.0,,,,,,,,,35989000.0,13806000.0,,101368000.0,quarterly,2017-01-28
2017-07-29,2020,FY,10-K,2020-09-25,977139000.0,542718000.0,434421000.0,31640000.0,-594000.0,257205000.0,197762000.0,110608000.0,67592000.0,153122000.0,133918000.0,61861000.0,34858000.0,38624000.0,17130000.0,26834535.0,402781000.0,annual,2016-07-30
2017-10-28,2019,Q2,10-Q,2019-03-12,295563000.0,166548000.0,129015000.0,9544000.0,13488000.0,298711000.0,235506000.0,131096000.0,87576000.0,178222000.0,158971000.0,78267000.0,48346000.0,24791000.0,4180000.0,27026292.0,119471000.0,quarterly,2017-04-29
2018-01-27,2019,Q3,10-Q,2019-06-06,295906000.0,168523000.0,127383000.0,15612000.0,3641000.0,416402000.0,358121000.0,266374000.0,80094000.0,145305000.0,129759000.0,271097000.0,51987000.0,33735000.0,8232000.0,,111771000.0,quarterly,2017-10-28
2018-04-28,2019,Q3,10-Q,2019-06-06,316741000.0,178535000.0,138206000.0,9752000.0,9487000.0,449870000.0,386723000.0,287257000.0,82222000.0,163129000.0,143688000.0,286741000.0,61474000.0,61496000.0,12026000.0,,128454000.0,quarterly,2018-01-27
2018-07-28,2021,FY,10-K,2021-09-27,1226505000.0,690483000.0,536022000.0,43024000.0,44900000.0,481585000.0,417006000.0,297516000.0,85092000.0,166513000.0,142232000.0,315072000.0,79758000.0,72178000.0,16565000.0,,492998000.0,annual,2017-07-29
2018-10-27,2020,Q2,10-Q,2020-03-10,366236000.0,201068000.0,165168000.0,10897000.0,10678000.0,550792000.0,398313000.0,173341000.0,106701000.0,217289000.0,191995000.0,333503000.0,90471000.0,50966000.0,6985000.0,,154271000.0,quarterly,2018-04-28
2019-01-26,2020,Q3,10-Q,2020-06-09,370280000.0,207131000.0,163149000.0,15411000.0,11976000.0,557051000.0,413436000.0,167496000.0,103167000.0,203762000.0,177159000.0,353289000.0,102447000.0,57667000.0,11903000.0,,147738000.0,quarterly,2018-10-27
2019-04-27,2020,Q3,10-Q,2020-06-09,408893000.0,224445000.0,184448000.0,-4567000.0,7048000.0,591482000.0,442597000.0,143829000.0,110100000.0,216347000.0,189052000.0,375135000.0,109495000.0,75208000.0,24517000.0,,189015000.0,quarterly,2019-01-26
2019-08-03,2022,FY,10-K,2022-09-21,1577558000.0,874429000.0,703129000.0,23495000.0,36881000.0,616066000.0,482404000.0,170932000.0,118216000.0,220066000.0,182631000.0,396000000.0,116674000.0,78594000.0,30825000.0,,679634000.0,annual,2018-07-28
2019-11-02,2021,Q2,10-Q,2021-03-09,444815000.0,243513000.0,201302000.0,160000.0,-178000.0,797328000.0,485487000.0,151779000.0,148502000.0,388714000.0,242894000.0,408614000.0,116496000.0,27524000.0,7502000.0,,201142000.0,quarterly,2019-04-27
2020-02-01,2021,Q3,10-Q,2021-06-08,451784000.0,249597000.0,202187000.0,8498000.0,11431000.0,799728000.0,486330000.0,165989000.0,147236000.0,360818000.0,220071000.0,438910000.0,127927000.0,38242000.0,11446000.0,,193689000.0,quarterly,2019-11-02
2020-05-02,2021,Q3,10-Q,2021-06-08,371726000.0,220115000.0,151611000.0,-46055000.0,-33903000.0,781629000.0,458471000.0,96840000.0,165077000.0,359049000.0,203930000.0,422580000.0,94024000.0,-20488000.0,18651000.0,,197666000.0,quarterly,2020-02-01
2020-08-01,2023,FY,10-K,2023-09-20,1711733000.0,957523000.0,754210000.0,-51664000.0,-67117000.0,769429000.0,466310000.0,143455000.0,124816000.0,368392000.0,212155000.0,401037000.0,49557000.0,42877000.0,30207000.0,,805874000.0,annual,2019-08-03
2020-10-31,2022,Q2,10-Q,2022-03-09,490423000.0,270972000.0,219451000.0,-19533000.0,9541000.0,880224000.0,597433000.0,200346000.0,156786000.0,451637000.0,295062000.0,428587000.0,59098000.0,57359000.0,5985000.0,,238984000.0,quarterly,2020-05-02
2021-01-30,2022,Q3,10-Q,2022-06-09,504087000.0,287744000.0,216343000.0,-40351000.0,-21039000.0,856022000.0,539321000.0,140031000.0,182422000.0,422488000.0,274709000.0,433534000.0,38059000.0,5666000.0,13894000.0,,256694000.0,quarterly,2020-10-31
2021-05-01,2022,Q3,10-Q,2022-06-09,535589000.0,289199000.0,246390000.0,-24219000.0,-18846000.0,833721000.0,495416000.0,124737000.0,215628000.0,404339000.0,264194000.0,429382000.0,19213000.0,-35062000.0,23690000.0,,270609000.0,quarterly,2021-01-30
2021-07-31,2024,FY,10-K,2024-09-25,2101258000.0,1153622000.0,947636000.0,-63361000.0,-8876000.0,819149000.0,521804000.0,129785000.0,212294000.0,358300000.0,228313000.0,460849000.0,40681000.0,-15675000.0,35256000.0,,1010997000.0,annual,2020-08-01
2021-10-30,2023,Q2,10-Q,2023-03-08,581244000.0,308327000.0,272917000.0,-1850000.0,-1827000.0,929422000.0,572770000.0,249677000.0,184129000.0,450827000.0,298233000.0,478595000.0,38854000.0,141656000.0,16392000.0,,274767000.0,quarterly,2021-05-01
2022-01-29,2023,Q3,10-Q,2023-06-07,516724000.0,283920000.0,232804000.0,-30698000.0,-30912000.0,898248000.0,531452000.0,193878000.0,183458000.0,437166000.0,276641000.0,461082000.0,7942000.0,124932000.0,30900000.0,,263502000.0,quarterly,2021-10-30
2022-04-30,2023,Q3,10-Q,2023-06-07,492941000.0,282851000.0,210090000.0,-76880000.0,-78040000.0,863646000.0,533819000.0,137721000.0,213004000.0,474140000.0,316987000.0,389506000.0,-70098000.0,94455000.0,38681000.0,,286970000.0,quarterly,2022-01-29
2022-07-30,2025,FY,10-K,2025-09-25,2017804000.0,1131132000.0,886672000.0,-184470000.0,-207121000.0,764535000.0,477252000.0,130935000.0,197251000.0,441884000.0,295570000.0,322651000.0,-166440000.0,75217000.0,44957000.0,,1071142000.0,annual,2021-07-31
2022-10-29,2024,Q2,10-Q,2024-03-05,443741000.0,256431000.0,187310000.0,-48536000.0,-55918000.0,744686000.0,466566000.0,113346000.0,220163000.0,449919000.0,297375000.0,294767000.0,-222358000.0,-10048000.0,5888000.0,,235846000.0,quarterly,2022-04-30
2023-01-28,2024,Q3,10-Q,2024-06-05,400622000.0,236866000.0,163756000.0,-63282000.0,-65571000.0,660598000.0,414426000.0,138979000.0,158927000.0,405321000.0,260949000.0,255277000.0,-287929000.0,11060000.0,11398000.0,,227038000.0,quarterly,2022-10-29
2023-04-29,2024,Q3,10-Q,2024-06-05,383419000.0,219744000.0,163675000.0,-20520000.0,-21825000.0,659970000.0,455744000.0,193575000.0,151612000.0,406189000.0,270093000.0,253781000.0,-309754000.0,36742000.0,14864000.0,,184195000.0,quarterly,2023-01-28
2023-07-29,2025,FY,10-K,2025-09-25,1592521000.0,916908000.0,675613000.0,-155281000.0,-171973000.0,614478000.0,425461000.0,239437000.0,130548000.0,367168000.0,238111000.0,247310000.0,-338413000.0,73230000.0,18863000.0,,830894000.0,annual,2022-07-30
2023-10-28,2025,Q2,10-Q,2025-03-12,364785000.0,205682000.0,159103000.0,-28661000.0,-35490000.0,624038000.0,450285000.0,256898000.0,160720000.0,393298000.0,270893000.0,230740000.0,-373903000.0,,3653000.0,,187764000.0,quarterly,2023-04-29
2024-01-27,2025,Q3,10-Q,2025-06-11,330402000.0,186922000.0,143480000.0,-38038000.0,-35524000.0,538316000.0,377971000.0,227503000.0,126033000.0,325045000.0,209421000.0,213271000.0,-409427000.0,,7427000.0,,181518000.0,quarterly,2023-10-28
2024-04-27,2025,Q3,10-Q,2025-06-11,322731000.0,175753000.0,146978000.0,-24840000.0,-21328000.0,536964000.0,385282000.0,196507000.0,114467000.0,328075000.0,219849000.0,208889000.0,-430755000.0,,10259000.0,,171818000.0,quarterly,2024-01-27
2024-08-03,2025,FY,10-K,2025-09-25,1337468000.0,745430000.0,592038000.0,-133427000.0,-128840000.0,486864000.0,366710000.0,162862000.0,97903000.0,299842000.0,203551000.0,187022000.0,-467253000.0,28207000.0,13965000.0,,725465000.0,annual,2023-07-29
2024-11-02,2025,Q2,10-Q,2025-03-12,318818000.0,174013000.0,144805000.0,-8966000.0,-6256000.0,507119000.0,392516000.0,137153000.0,119145000.0,316624000.0,226553000.0,190495000.0,-473509000.0,,4323000.0,,153771000.0,quarterly,2024-04-27
2025-02-01,2025,Q3,10-Q,2025-06-11,312110000.0,173249000.0,138861000.0,-9025000.0,-6529000.0,472638000.0,352904000.0,113205000.0,109591000.0,274881000.0,191154000.0,197757000.0,-480038000.0,,7547000.0,,147886000.0,quarterly,2024-11-02
2025-05-03,2025,Q3,10-Q,2025-06-11,325016000.0,181458000.0,143558000.0,-9708000.0,-7378000.0,484748000.0,373276000.0,108915000.0,114410000.0,284357000.0,206820000.0,200391000.0,-487416000.0,,12065000.0,,153266000.0,quarterly,2025-02-01
2025-08-02,2025,FY,10-K,2025-09-25,1267171000.0,704232000.0,562939000.0,-38905000.0,-28739000.0,480622000.0,373872000.0,113952000.0,118370000.0,277644000.0,206227000.0,202978000.0,-495992000.0,,16293000.0,,601844000.0,annual,2024-08-03
